Horizon,Model,Test MSE,Best Params
1,Neural Network,2996.473274523347,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate_init': 0.001}"
1,Random Forest,3029.9184251586803,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
1,XGBoost,3212.1874789684657,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 200, 'model__reg_lambda': 1, 'model__subsample': 1.0}"
1,Linear Regression,10216.475615786965,{}
